Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control
MONROE SD,M22A20828,MONROE,BLOOMINGTON,BLOOMINGTON,8/25/22,11:52 AM,2,,0,0,0,,W ALLEN ST,,,,,W ALLEN ST,W ALLEN ST,,,,N,,0,,39.15539657,-86.55110783,PRIVATE DRIVE,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER TURNING,$5001 TO $10000,HEAD ON BETWEEN TWO MOTOR VEHICLES,WALLENSTWALLENST,0,
BLOOMINGTON PD,B22-42319,MONROE,VAN BUREN,BLOOMINGTON,10/13/22,11:07 AM,2,,0,0,0,,W. 3RD ST,,,,,W. 3RD ST,I69 RAMP 118,,,,Y,,0,,39.16460415,-86.53424145,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,CONCRETE,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,LEFT TURN,W.3RDSTI69RAMP118,0,
MONROE SD,M22A16980,MONROE,INDIAN CREEK,,7/15/22,11:35 AM,2,,0,0,0,,S ROCKPORT RD,,,,,S ROCKPORT RD,S HARMONY RD,,,,N,,0,,39.05015863,-86.60925394,,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,RIGHT ANGLE,SROCKPORTRDSHARMONYRD,0,
BLOOMINGTON PD,B22-42476,MONROE,PERRY,BLOOMINGTON,10/14/22,10:54 AM,2,,0,0,0,,4500 BLK E. DECKARD DR,,,,,4500 BLK E. DECKARD DR,STEPHENS DRIVE,,,,Y,,1500,,39.17625005,-86.47784135,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$2501 TO $5000,BACKING CRASH,STEPHENSDRIVE4500BLKE.DECKARDDR,0,
BLOOMINGTON PD,B22-32081,MONROE,PERRY,BLOOMINGTON,8/17/22,4:03 PM,2,,0,0,0,,E ROGERS RD,,,,,E ROGERS RD,S SARE RD,,,,Y,,0,,39.13595076,-86.49668429,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,TRAFFIC CIRCLE/ROUNDABOUT,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,SAME DIRECTION SIDESWIPE,SSARERDEROGERSRD,0,
BLOOMINGTON PD,B22-27194,MONROE,VAN BUREN,BLOOMINGTON,7/16/22,9:33 AM,2,,1,0,0,,W 3RD ST,,,,,W 3RD ST,S CURRY PIKE,,,,Y,,0,,39.16465111,-86.58289727,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,REAR END,W3RDSTSCURRYPIKE,0,
BLOOMINGTON PD,B22-05541,MONROE,PERRY,BLOOMINGTON,2/19/22,12:30 PM,2,,0,0,0,,COUNTRY CLUB,,,,,COUNTRY CLUB,MADISON,,,,Y,,0,,39.13601775,-86.53633882,LOCAL/CITY ROAD,,,,RURAL,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,MADISONCOUNTRYCLUB,0,
ISP BLOOMINGTON 33,2.022E+11,MONROE,RICHLAND,BLOOMINGTON,1/27/22,1:20 PM,1,,0,0,0,,W SR 48,,,,,W SR 48,N OARD RD,,,,N,,0,,39.16487559,-86.62002326,STATE ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,,ASPHALT,,$5001 TO $10000,,WSR48NOARDRD,0,
BLOOMINGTON PD,B22-34444,MONROE,BLOOMINGTON,BLOOMINGTON,8/30/22,12:50 PM,2,,0,0,0,,W 7TH ST,,,,,W 7TH ST,N MORTON ST,,,,Y,,0,,39.168572,-86.536138,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,IMPROPER TURNING,$2501 TO $5000,OPPOSITE DIRECTION SIDESWIPE,W7THSTNMORTONST,0,
ISP BLOOMINGTON 33,2.022E+11,MONROE,BLOOMINGTON,BLOOMINGTON,9/9/22,8:45 AM,2,,1,0,0,,SR45,,,,,SR45,10TH STREET,,,,Y,,150,,39.17219627,-86.50264783,STATE ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,REAR END,SR4510THSTREET,0,
BLOOMINGTON PD,B22-07856,MONROE,BLOOMINGTON,BLOOMINGTON,3/9/22,2:57 PM,2,,0,0,0,260,N JACOB DR,,,,,N JACOB DR,,,,,Y,,0,,39.16835673,-86.57330197,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,UNDER $1001,REAR TO REAR,NJACOBDR,0,
BLOOMINGTON PD,B22-41802,MONROE,PERRY,BLOOMINGTON,10/10/22,1:45 PM,2,,0,0,0,,S ADAMS ST,,,,,S ADAMS ST,W ALLEN ST,,,,Y,,0,,39.15585968,-86.55054635,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RIGHT ANGLE,WALLENSTSADAMSST,0,
BLOOMINGTON PD,B22-39446,MONROE,BLOOMINGTON,BLOOMINGTON,9/28/22,4:32 AM,2,,2,0,0,,S PETE ELLIS DR,,,,,S PETE ELLIS DR,LONGVIEW AVE,,,,Y,,0,,39.16694777,-86.49492615,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,UNDER $1001,REAR END,SPETEELLISDRLONGVIEWAVE,0,
INDIANA UNIV BLOOMINGTON PD,223810,MONROE,BLOOMINGTON,BLOOMINGTON,10/8/22,10:28 AM,3,,0,0,0,,E 10TH ST,,,,,E 10TH ST,N CAMPBELL ST,,,,Y,,0,,39.17159075,-86.51457078,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$10001 TO $25000,REAR END,NCAMPBELLSTE10THST,0,
MONROE SD,M22A16030,MONROE,RICHLAND,BLOOMINGTON,7/5/22,10:13 AM,2,,0,0,0,3600,N MATTEWS DR,,,,,N MATTEWS DR,,,,,N,,0,,39.24455645,-86.61803705,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,NMATTEWSDR,0,
BLOOMINGTON PD,B22-01644,MONROE,RICHLAND,BLOOMINGTON,1/15/22,11:30 AM,2,,0,0,0,,N WALNUT ST,ST,,,,N WALNUT ST ST,E GLENDORA DR,,,,Y,,0,,39.19025299,-86.53322286,LOCAL/CITY ROAD,,N,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,Y-INTERSECTION,,ASPHALT,UNSAFE LANE MOVEMENT,$2501 TO $5000,RIGHT TURN,NWALNUTSTSTEGLENDORADRDR,0,
ELLETTSVILLE PD,E22-3610,MONROE,RICHLAND,ELLETTSVILLE,9/15/22,6:35 PM,2,,1,0,0,,E TEMPERANCE ST,,,,,E TEMPERANCE ST,E TEMPERANCE ST,,,,Y,,0,,39.22754773,-86.6159783,COUNTY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,INTERCHANGE,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$25001 TO $50000,REAR END,ETEMPERANCESTETEMPERANCEST,0,
MONROE SD,M22A22507,MONROE,BLOOMINGTON,BLOOMINGTON,9/13/22,7:29 AM,1,,0,0,0,,S CURRY PIKE,,,,,S CURRY PIKE,SIERRA DR,,,,N,,0,,39.15300037,-86.58072339,PRIVATE DRIVE,,,,RURAL,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER LANE USAGE,$2501 TO $5000,RIGHT ANGLE,SIERRADRSCURRYPIKE,0,
INDIANA UNIV BLOOMINGTON PD,221549,MONROE,BLOOMINGTON,BLOOMINGTON,4/22/22,5:00 PM,2,,0,0,0,,S DUNN ST,,,,,S DUNN ST,,,,,Y,,0,,39.16599069,-86.52771696,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$2501 TO $5000,OTHER - EXPLAIN IN NARRATIVE,SDUNNST,0,
BLOOMINGTON PD,B22-17378,MONROE,PERRY,BLOOMINGTON,5/12/22,1:30 AM,2,,1,0,0,,S WALNUT ST,,,,,S WALNUT ST,E MILLER DR,,,,Y,,0,,39.146872,-86.53263993,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,CONCRETE,DISREGARD SIGNAL/REG SIGN,$5001 TO $10000,RIGHT ANGLE,SWALNUTSTEMILLERDR,0,
BLOOMINGTON PD,B22-08030,MONROE,BLOOMINGTON,BLOOMINGTON,3/10/22,5:58 PM,2,,0,0,0,,W KIRKWOOD AVE,,,,,W KIRKWOOD AVE,N WALDRON ST,,,,N,,0,,39.1667011,-86.54389459,LOCAL/CITY ROAD,,,,URBAN,Y,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,SAME DIRECTION SIDESWIPE,WKIRKWOODAVENWALDRONST,0,
BLOOMINGTON PD,B22-31744,MONROE,PERRY,BLOOMINGTON,8/15/22,8:30 PM,2,,0,0,0,2966,E 3RD ST.,,,,,E 3RD ST.,,,,,Y,,0,,39.161776,-86.494241,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OVERCORRECTING/OVERSTEERING,$2501 TO $5000,LEFT TURN,E3RDST.,0,
MONROE SD,M22A12664,MONROE,WASHINGTON,BLOOMINGTON,5/31/22,3:17 PM,1,,0,0,0,,N OLD STATE ROAD 37,,,,,N OLD STATE ROAD 37,E SAMPLE RD,,,,N,,1000,,39.25733925,-86.50116094,COUNTY ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$10001 TO $25000,RAN OFF ROAD,NOLDSTATEROAD37ESAMPLERD,0,
MONROE SD,M22A12857,MONROE,RICHLAND,BLOOMINGTON,6/2/22,11:03 AM,2,,0,0,0,,W STATE RD 46,,,,,W STATE RD 46,W ARLINGTON RD,,,,N,,0,,39.20843396,-86.58074617,STATE ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$2501 TO $5000,REAR END,WSTATERD46WARLINGTONRD,0,
ISP BLOOMINGTON 33,2.022E+11,MONROE,BLOOMINGTON,BLOOMINGTON,5/17/22,9:05 AM,2,,0,0,0,,SR46,,,,,SR46,ARLINGTON ROAD,,,,Y,,2640,,40.23912734,-85.92877232,STATE ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$10001 TO $25000,REAR END,SR46ARLINGTONROAD,0,
BLOOMINGTON PD,B22-16642,MONROE,BLOOMINGTON,BLOOMINGTON,5/7/22,11:00 AM,2,,0,0,0,,N FESS AVE,,,,,N FESS AVE,E 10TH ST,,,,Y,,0,,39.17126705,-86.52583248,,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE LANE MOVEMENT,$1001 TO $2500,SAME DIRECTION SIDESWIPE,NFESSAVEE10THST,0,
BLOOMINGTON PD,B22-18103,MONROE,PERRY,BLOOMINGTON,5/17/22,5:26 PM,2,,0,0,0,,W 3RD ST,,,,,W 3RD ST,STATE RD 37,,,,Y,,0,,39.16446222,-86.57242622,STATE ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,INTERCHANGE,,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,W3RDSTSTATERD37,0,
MONROE SD,M22A7270,MONROE,PERRY,BLOOMINGTON,3/30/22,10:06 AM,2,,0,0,0,,,,,,,,,,,,N,,0,,39.11773459,-86.53010508,,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER TURNING,$2501 TO $5000,OPPOSITE DIRECTION SIDESWIPE,,0,
INDIANA UNIV BLOOMINGTON PD,222446,MONROE,BLOOMINGTON,BLOOMINGTON,7/22/22,9:56 PM,2,,0,0,0,,E 10TH ST,,,,,E 10TH ST,STATE RD 45,,,,Y,,0,,39.17154812,-86.50236002,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,UNSAFE BACKING,$2501 TO $5000,BACKING CRASH,STATERD45E10THST,0,
BLOOMINGTON PD,B22-27462,MONROE,BLOOMINGTON,BLOOMINGTON,7/18/22,10:00 AM,1,,1,0,0,455,N COLLEGE AVE,,,,,N COLLEGE AVE,,,,,Y,,0,,39.17020504,-86.53463695,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,CONCRETE,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$2501 TO $5000,OTHER - EXPLAIN IN NARRATIVE,NCOLLEGEAVE,0,
MONROE SD,M22A16789,MONROE,,BLOOMINGTON,7/13/22,10:34 AM,2,,0,0,0,6385,S FAIRFAX,,,,,S FAIRFAX,,,,,N,,0,,,,PRIVATE DRIVE,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,DRIVER ILLNESS,$25001 TO $50000,RAN OFF ROAD,SFAIRFAX,0,
ELLETTSVILLE PD,E2201619,MONROE,RICHLAND,ELLETTSVILLE,4/30/22,10:09 PM,2,0,0,0,0,602,WEST VINE,ST,,,,WEST VINE,,,,,Y,,,,39.2345803,-86.6242855,OTHER,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,$2501 TO $5000,BACKING CRASH,WESTVINEST,0,NONE
INDIANA UNIV BLOOMINGTON PD,221357,MONROE,BLOOMINGTON,BLOOMINGTON,4/10/22,7:20 PM,2,,0,0,0,1900,E 10TH ST.,,,,,E 10TH ST.,,,,,Y,,0,,39.17025887,-86.50858677,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER TURNING,$1001 TO $2500,RIGHT TURN,E10THST.,0,
BLOOMINGTON PD,B22-41812,MONROE,PERRY,BLOOMINGTON,10/10/22,2:29 PM,2,,0,0,0,,W. COUNTRY CLUB DRIVE,,,,,W. COUNTRY CLUB DRIVE,S. MADISON ST.,,,,Y,,2000,,39.135986,-86.537158,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,W.COUNTRYCLUBDRIVES.MADISONST.,0,
MONROE SD,M22A8629,MONROE,RICHLAND,BLOOMINGTON,4/17/22,6:45 AM,4,,0,0,0,4137,W STATE RD 46,,,,,W STATE RD 46,,,,,N,,0,,39.2125186,-86.5884992,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,,GRAVEL,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$5001 TO $10000,BACKING CRASH,WSTATERD46,0,
MONROE SD,M22A25007,MONROE,VAN BUREN,BLOOMINGTON,10/11/22,8:41 PM,1,,0,0,0,,WOODHAVEN DR,,,,,WOODHAVEN DR,WOODMERE WAY,,,,N,,250,,39.128271,-86.581937,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$2501 TO $5000,SAME DIRECTION SIDESWIPE,WOODMEREWAYWOODHAVENDR,0,
ELLETTSVILLE PD,E22-04221,MONROE,RICHLAND,ELLETTSVILLE,10/15/22,11:13 AM,2,,0,0,0,,E TEMPERANCE ST,,,,,E TEMPERANCE ST,S 1ST ST,,,,Y,,0,,39.23064837,-86.62026409,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,SAME DIRECTION SIDESWIPE,S1STSTETEMPERANCEST,0,
MONROE SD,M22A12444,MONROE,SALT CREEK,BLOOMINGTON,5/28/22,6:35 AM,1,,0,0,0,,STATE RD 46,,,,,STATE RD 46,N BRUMMETTS CREEK RD,,,,N,,0,,39.15165418,-86.38969464,STATE ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE LANE MOVEMENT,$2501 TO $5000,RAN OFF ROAD,STATERD46NBRUMMETTSCREEKRD,0,
BLOOMINGTON PD,B22-32877,MONROE,BLOOMINGTON,BLOOMINGTON,8/21/22,3:30 PM,2,,1,0,0,,W 3RD ST,,,100,C,W 3RD ST,,,,,Y,,0,,39.16470335,-86.57389868,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RIGHT ANGLE,W3RDST100C,0,
BLOOMINGTON PD,B22-26781,MONROE,BLOOMINGTON,BLOOMINGTON,7/13/22,5:20 PM,2,,0,0,0,,IN 45 BYPASS,,,,,IN 45 BYPASS,WALNUT KNOLLS APARTMENT,,,,Y,,0,,,,STATE ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE LANE MOVEMENT,$5001 TO $10000,SAME DIRECTION SIDESWIPE,WALNUTKNOLLSAPARTMENTIN45BYPASS,0,
BLOOMINGTON PD,B22-42203,MONROE,BLOOMINGTON,BLOOMINGTON,10/12/22,3:42 PM,2,,0,0,0,,W FOUNTAIN DR,,,,,W FOUNTAIN DR,W 11TH ST,,,,Y,,0,,39.17328477,-86.5550735,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,WFOUNTAINDRW11THST,0,
MONROE SD,M22A15998,MONROE,RICHLAND,BLOOMINGTON,7/5/22,9:50 AM,2,,0,0,0,3585,W STATE ROAD 46,,,,,W STATE ROAD 46,,,,,N,,0,,39.20867996,-86.58235529,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$2501 TO $5000,BACKING CRASH,WSTATEROAD46,0,
BLOOMINGTON PD,B22-40182,MONROE,PERRY,BLOOMINGTON,10/1/22,1:27 PM,2,,0,0,0,,S MONON DR,,,,,S MONON DR,W HILLSIDE DR,,,,Y,,211,,39.15091861,-86.5344879,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$2501 TO $5000,BACKING CRASH,WHILLSIDEDRSMONONDR,0,
INDIANA UNIV BLOOMINGTON PD,222666,MONROE,BLOOMINGTON,BLOOMINGTON,8/17/22,1:30 PM,2,,0,0,0,1101,E 17TH STREET,,,,,E 17TH STREET,,,,,Y,,0,,39.18127594,-86.52007467,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER TURNING,UNDER $1001,LEFT/RIGHT TURN,E17THSTREET,0,
INDIANA UNIV BLOOMINGTON PD,223690,MONROE,BLOOMINGTON,BLOOMINGTON,10/1/22,4:45 PM,2,,3,0,0,,E 17TH ST,,,,,E 17TH ST,STATE RD 45,,,,Y,,0,,39.17965687,-86.50730537,STATE ROAD,,,,URBAN,N,Y,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$25001 TO $50000,RIGHT ANGLE,STATERD45E17THST,0,
BLOOMINGTON PD,B22-41776,MONROE,BLOOMINGTON,BLOOMINGTON,10/10/22,10:47 AM,2,,0,0,0,,N. WALNUT ST,,,,,N. WALNUT ST,W.SR45/46 BYPASS,,,,Y,,0,,39.18728452,-86.53417954,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,W.SR45/46BYPASSN.WALNUTST,0,
BLOOMINGTON PD,B22-14080,MONROE,PERRY,BLOOMINGTON,4/21/22,4:45 AM,2,,0,0,0,,E 3RD ST,,,,,E 3RD ST,,,,,Y,,0,,39.16403819,-86.51588744,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER TURNING,$1001 TO $2500,LEFT TURN,E3RDST,0,
BLOOMINGTON PD,B22-42324,MONROE,BLOOMINGTON,BLOOMINGTON,10/13/22,11:43 AM,2,,0,0,0,,N. COLLEGE AVE,,,,,N. COLLEGE AVE,W. KIRKWOOD AVE,,,,Y,,0,,39.166587,-86.534893,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,W.KIRKWOODAVEN.COLLEGEAVE,0,
BLOOMINGTON PD,B22-11312,MONROE,PERRY,BLOOMINGTON,4/2/22,3:51 PM,2,,0,0,0,,S WALNUT ST,,,,,S WALNUT ST,E 1ST ST,,,,Y,,0,,39.15896033,-86.53365464,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,SAME DIRECTION SIDESWIPE,SWALNUTSTE1STST,0,
ISP BLOOMINGTON 33,2.022E+11,MONROE,VAN BUREN,BLOOMINGTON,8/24/22,7:35 AM,2,,0,0,0,,SR45,,,,,SR45,DUNLAP ROAD,,,,N,,1000,,39.11859071,-86.62060573,STATE ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$5001 TO $10000,REAR END,SR45DUNLAPROAD,0,
ELLETTSVILLE PD,E22-03960,MONROE,RICHLAND,ELLETTSVILLE,10/1/22,4:30 PM,2,,0,0,0,,E TEMPERANCE ST,,,,,E TEMPERANCE ST,N HARTSTRAIT RD,,,,Y,,0,,39.22767217,-86.61607183,STATE ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$10001 TO $25000,REAR END,NHARTSTRAITRDETEMPERANCEST,0,
MONROE SD,M22A17719,MONROE,PERRY,BLOOMINGTON,7/22/22,4:58 PM,2,,0,0,0,,ROGERS ST,,,,,ROGERS ST,OLD STATE ROAD 37 S,,,,N,,0,,,,COUNTY ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,ROGERSSTOLDSTATEROAD37S,0,
MONROE SD,M22A19686,MONROE,BLOOMINGTON,BLOOMINGTON,8/12/22,1:01 AM,2,,0,0,0,,E 3RD ST,,,,,E 3RD ST,S SMITH RD,,,,N,,0,,39.16425423,-86.48124165,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$1001 TO $2500,REAR END,SSMITHRDE3RDST,0,
INDIANA UNIV BLOOMINGTON PD,222269,MONROE,BLOOMINGTON,BLOOMINGTON,6/29/22,3:10 PM,2,,0,0,0,,STATE ROAD 45,,,,,STATE ROAD 45,E 10TH STREET,,,,Y,,0,,39.17200697,-86.50251737,STATE ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,UNSAFE LANE MOVEMENT,$2501 TO $5000,SAME DIRECTION SIDESWIPE,STATEROAD45E10THSTREET,0,
INDIANA UNIV BLOOMINGTON PD,222723,MONROE,BLOOMINGTON,BLOOMINGTON,8/20/22,5:15 PM,2,,0,0,0,,E 3RD ST,,,,,E 3RD ST,S WOODLAWN AVE,,,,Y,,0,,39.16425423,-86.52257986,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,IMPROPER TURNING,$5001 TO $10000,LEFT TURN,SWOODLAWNAVEE3RDST,0,
STINESVILLE PD,S2200351,MONROE,BEAN BLOSSOM,STINESVILLE,9/24/22,2:36 PM,1,0,1,0,0,,MAIN,ST,,,,MAIN,STINESVILLE,,,,N,,,,39.15816907,-86.22068296,LOCAL/CITY ROAD,,N,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/HILLCREST,CONCRETE,OVERCORRECTING/OVERSTEERING,$1001 TO $2500,RAN OFF ROAD,MAINSTSTINESVILLERD,0,NONE
